mean_percent_increase,median_percent_increase
4.2626082514769825,4.262608251476978
3.2595807178403646,3.259580717840361
4.311447991939417,4.311447991939417
4.305437976599504,4.305437976599505
4.138208768370281,4.1382087683702835
3.241038765820681,3.2410387658206803
2.847194703767108,2.8471947037671073
4.074072922473506,4.074072922473507
2.645013210258118,2.645013210258116
2.5115068790673196,2.511506879067321
2.96017130657143,2.9601713065714303
3.205794144454668,3.205794144454666
2.795551354588618,2.7955513545886177
3.5327597217482603,3.532759721748261
2.994212459625586,2.9942124596255884
2.7307892552989688,2.7307892552989688
4.1628754764208855,4.162875476420887
2.6258571366217223,2.6258571366217227
2.7588535906593528,2.758853590659353
2.514163390853318,2.5141633908533194
4.602627786497973,4.602627786497975
3.7689410293772405,3.76894102937724
4.224833658170257,4.224833658170259
2.751547129099817,2.7515471290998192
3.158064995860127,3.158064995860127
3.5133620632730156,3.5133620632730143
3.3105814552157042,3.3105814552157056
3.940459243765757,3.9404592437657566
3.4474722681589776,3.4474722681589767
3.8431014762001925,3.843101476200192
3.856333011496425,3.8563330114964267
3.358221528349288,3.3582215283492904
4.5627286713972754,4.562728671397274
2.7643113087731703,2.76431130877317
3.1279395030457997,3.1279395030457997
3.4572083245774006,3.4572083245774006
2.194449362825915,2.1944493628259147
3.085629918358041,3.085629918358039
4.490654699728024,4.490654699728021
3.7683553898217927,3.7683553898217923
4.699436123903658,4.69943612390366
3.978785495384797,3.978785495384793
3.399826321875878,3.399826321875876
2.5644388987732647,2.5644388987732665
2.9829179382708477,2.9829179382708473
2.382614613399545,2.3826146133995434
2.4194401094247695,2.419440109424773
3.2644307779069965,3.2644307779069983
3.4014072910895603,3.4014072910895603
3.4161307113770576,3.416130711377056
3.2201454979578075,3.220145497957807
3.106083673617278,3.1060836736172774
2.3570450301631674,2.3570450301631656
4.3460175398230945,4.346017539823098
3.3903876044134766,3.390387604413476
4.034666347893244,4.034666347893242
2.291774137526295,2.2917741375262946
3.3326990499104974,3.332699049910498
3.0530429099586094,3.05304290995861
3.01181541122301,3.0118154112230076
3.655501974477738,3.6555019744777404
5.041624885606329,5.041624885606332
3.1219406215133287,3.1219406215133305
4.084256539378127,4.084256539378127
2.8809144091248498,2.8809144091248506
2.2419307339340375,2.2419307339340353
3.4145267132561794,3.414526713256183
4.152419644511762,4.152419644511761
3.943475148315248,3.9434751483152493
5.454997151631601,5.454997151631604
3.023672279898065,3.0236722798980677
2.7033314205830834,2.703331420583086
3.4173918134570425,3.4173918134570442
3.793132031731235,3.793132031731232
3.2791931913020194,3.279193191302018
1.9394641439882785,1.9394641439882738
2.8805340701472932,2.880534070147295
3.6413512025401222,3.6413512025401245
2.7819717766425645,2.781971776642565
2.140095741883926,2.1400957418839273
3.1809075156651474,3.1809075156651456
3.477470606002354,3.477470606002353
3.4167723794431843,3.4167723794431843
3.02199063401402,3.0219906340140197
2.9795928096306064,2.979592809630608
2.20193733501602,2.201937335016019
3.347569225638995,3.3475692256389933
3.610031986970343,3.6100319869703443
2.550559709179907,2.5505597091799075
3.825109680872243,3.8251096808722407
2.593126914960799,2.5931269149608003
3.68019844991583,3.6801984499158276
3.4713256487586235,3.471325648758623
2.931284191392782,2.9312841913927805
2.779634851586925,2.7796348515869242
3.7364775111592397,3.7364775111592428
2.422634486757686,2.422634486757686
2.962875003695372,2.962875003695369
3.2790123772980024,3.2790123772980033
2.7497233483508974,2.7497233483508983
4.586881909149013,4.586881909149014
4.260493384353856,4.260493384353858
5.465394448314734,5.465394448314736
2.8959559141035776,2.8959559141035776
2.8111024278256735,2.8111024278256727
4.939695761508273,4.939695761508274
4.796754690680583,4.796754690680585
3.406126061365585,3.406126061365585
3.2055220109173956,3.205522010917396
2.9788503668199886,2.978850366819991
4.106625991193181,4.106625991193182
3.972703590853655,3.972703590853654
3.5985916772662243,3.5985916772662243
3.133325154236094,3.1333251542360934
2.5331506167767643,2.5331506167767612
4.604901603118859,4.604901603118859
3.179033565161287,3.17903356516129
3.7138959545341437,3.7138959545341432
3.4055137595284606,3.4055137595284615
3.78983788057413,3.789837880574127
3.4062263940984376,3.4062263940984416
3.254882979424815,3.2548829794248144
3.395694562840911,3.3956945628409123
3.975239703495401,3.9752397034954017
3.0595065906123025,3.0595065906122993
2.718094235796493,2.7180942357964923
3.3448727697072784,3.344872769707276
3.6300756311944595,3.630075631194461
4.307500227675553,4.307500227675552
3.1558612198211526,3.155861219821153
2.7818043932670276,2.781804393267024
3.4856199917364417,3.4856199917364434
3.936710663511066,3.9367106635110667
3.7730502090783378,3.7730502090783373
4.771141619057507,4.771141619057504
3.542228555379555,3.5422285553795554
2.949067240984247,2.949067240984249
3.1106048495335332,3.1106048495335363
3.6688982145233524,3.6688982145233515
4.024733650822143,4.024733650822145
3.2388194319546693,3.2388194319546706
2.2271400213996504,2.2271400213996495
3.466634623440571,3.4666346234405747
2.833303964889268,2.8333039648892724
2.0435606310856667,2.043560631085668
3.30494707876506,3.304947078765059
3.5237534231049796,3.523753423104981
3.4011985843131414,3.4011985843131423
3.0046609997157634,3.00466099971576
3.1987187646598376,3.19871876465984
3.1093146334954938,3.109314633495491
2.332611641017559,2.332611641017559
2.874760814136146,2.8747608141361463
3.7375493135129463,3.7375493135129494
2.4421860851601944,2.442186085160192
4.328391177211659,4.328391177211659
2.88180620514566,2.8818062051456597
3.2117340591137924,3.21173405911379
2.050729743616253,2.0507297436162553
2.823222314212284,2.823222314212283
3.6751358705431687,3.6751358705431674
2.6392899981718507,2.639289998171851
3.2057694984941594,3.205769498494157
4.357875893452187,4.357875893452185
3.5732118503476173,3.5732118503476147
3.434496040449785,3.434496040449786
3.7088241943294626,3.7088241943294644
3.5065763152344673,3.5065763152344656
4.04520266223166,4.0452026622316595
2.7635155438727708,2.763515543872769
4.0895255641608275,4.089525564160828
3.5123404356228005,3.512340435622799
2.803991982096084,2.8039919820960826
2.2929833097542986,2.292983309754301
2.8277839365090642,2.8277839365090633
2.793778800183033,2.793778800183036
3.6861932234244814,3.68619322342448
4.170903281599487,4.170903281599486
2.7806072780089415,2.7806072780089375
3.6165842496178926,3.6165842496178895
4.592374615088205,4.592374615088202
3.3940496996567036,3.3940496996567004
3.59521611197338,3.5952161119733783
2.630949421199728,2.6309494211997277
4.340954520943584,4.340954520943587
3.7479748334513165,3.7479748334513174
3.2266261134166956,3.2266261134166956
2.9307351321933397,2.930735132193342
3.6945153510259243,3.6945153510259217
3.1744215495066093,3.174421549506607
2.325656624787878,2.3256566247878796
2.989846634582415,2.989846634582414
2.8965839784402423,2.896583978440243
3.055637370693324,3.0556373706933244
3.668584439349496,3.668584439349497
3.445761035408441,3.445761035408438
2.362889377228507,2.362889377228507
3.0562733671360895,3.0562733671360833
2.862033979597868,2.862033979597869
2.7629328280176417,2.7629328280176444
3.1295308633513415,3.129530863351344
2.569175584266443,2.5691755842664463
3.678979231060605,3.678979231060605
2.9426422550327676,2.942642255032767
3.228814363971565,3.228814363971563
4.193223332352366,4.193223332352364
4.131683898860775,4.131683898860781
4.753956026899135,4.753956026899137
2.980802942831275,2.9808029428312732
3.747340199023677,3.747340199023678
3.993265681533122,3.9932656815331207
2.880949673331552,2.880949673331553
3.7544264604257425,3.7544264604257416
3.358775120858365,3.358775120858365
2.719341991592096,2.7193419915920938
3.750904587031139,3.750904587031143
3.2824126854412756,3.282412685441275
3.4744630994823105,3.4744630994823105
3.0505394139644175,3.0505394139644197
3.6568535090945904,3.656853509094593
3.3006523767592917,3.3006523767592912
3.3863307033578907,3.3863307033578867
3.296299370726134,3.2962993707261328
2.605137503341693,2.605137503341691
4.319876523290195,4.319876523290198
3.4953600633089597,3.4953600633089588
2.7660948657956523,2.766094865795651
2.8010384943330724,2.801038494333073
3.0685979510489045,3.068597951048906
3.246065955267671,3.2460659552676727
3.666267871885035,3.6662678718850357
3.3519563439204494,3.3519563439204503
2.9605218068390236,2.960521806839022
3.1318876875606727,3.131887687560674
2.939912535427409,2.9399125354274096
3.1837627665470176,3.1837627665470194
2.2373620681988577,2.2373620681988573
2.586471667779513,2.586471667779516
