scenario,coefficient_factor,C_value,Q_peak_m3_per_s
pre_urban,0.8,0.32400000000000007,508.4294746950001
pre_urban,0.9,0.36450000000000005,571.9831590318751
pre_urban,1.0,0.405,635.53684336875
pre_urban,1.1,0.44550000000000006,699.0905277056252
pre_urban,1.2,0.486,762.6442120425
post_urban,0.8,0.3352,526.004814561
post_urban,0.9,0.3771,591.755416381125
post_urban,1.0,0.419,657.50601820125
post_urban,1.1,0.46090000000000003,723.256620021375
post_urban,1.2,0.5027999999999999,789.0072218414999
